bucket,decision_reasons,dedup_reason,diversity_constraints,event_sale_influence,lane,manual_override,must_ship,offer_id,quality_reasons,queue_bucket,score,source,title
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:588650,"[""review_threshold""]",planned,181.05,steam,Dead Cells
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:413410,"[""review_threshold""]",planned,175.29,steam,Danganronpa: Trigger Happy Havoc
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:312520,"[""review_threshold""]",planned,180.14,steam,Rain World
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:960090,"[""review_threshold""]",planned,172.21,steam,Bloons TD 6
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:780310,"[""review_threshold""]",planned,177.12,steam,The Riftbreaker
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:3472040,"[""review_threshold""]",planned,168.74,steam,NBA 2K26
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:699130,"[""review_threshold""]",planned,174.98,steam,World War Z
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1669000,"[""review_threshold""]",planned,160.88,steam,Age of Wonders 4
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:2186680,"[""review_threshold""]",planned,172.83,steam,"Warhammer 40,000: Rogue Trader"
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:2849080,"[""review_threshold""]",planned,160.54,steam,Kingdom Rush 5: Alliance TD
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:892970,"[""review_threshold""]",planned,164.9,steam,Valheim
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:526870,"[""review_threshold""]",planned,155.17,steam,Satisfactory
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:2668510,"[""review_threshold""]",planned,164.45,steam,Red Dead Redemption
reserve,"[""high_value_discount""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1594320,"[""review_threshold""]",planned,152.97,steam,Captain of Industry
